Thu Apr 05 05:06:49 2007 +0000,v2.5.1c1
Wed Nov 01 07:07:27 2006 +0000,v2.3.6
Mon Oct 23 15:38:59 2006 +0000,v2.3.6c1
Wed Oct 18 07:02:36 2006 +0000,v2.4.4
Tue Oct 10 17:28:33 2006 +0000,v2.4.4c1
Mon Sep 18 06:51:50 2006 +0000,v2.5
Mon Sep 11 15:32:50 2006 +0000,v2.5c2
Thu Aug 17 00:38:04 2006 +0000,v2.5c1
Wed Aug 02 18:19:35 2006 +0000,v2.5b3
Tue Jul 11 02:17:48 2006 +0000,v2.5b2
Mon Jun 19 23:57:41 2006 +0000,v2.5b1
Thu Apr 27 02:13:13 2006 +0000,v2.5a2
Tue Apr 04 19:29:29 2006 +0000,v2.5a1
Fri Mar 31 15:20:56 2006 +0000,v2.5a0
Tue Mar 28 08:36:44 2006 +0000,v2.4.3
Thu Mar 23 02:49:35 2006 +0000,v2.4.3c1
Wed Sep 28 03:38:39 2005 +0000,v2.4.2
Tue Sep 20 20:53:24 2005 +0000,v2.4.2c1
Wed Mar 30 03:01:43 2005 +0000,v2.4.1
Thu Mar 17 03:06:56 2005 +0000,v2.4.1c2
Thu Mar 10 04:59:14 2005 +0000,v2.4.1c1
Tue Feb 08 13:27:52 2005 +0000,v2.3.5
Wed Jan 26 04:55:57 2005 +0000,v2.3.5c1
Tue Nov 30 01:49:18 2004 +0000,v2.4
Thu Nov 18 12:32:27 2004 +0000,v2.4c1
Wed Nov 03 06:21:37 2004 +0000,v2.4b2
Fri Oct 15 08:07:21 2004 +0000,v2.4b1
Thu Sep 02 16:38:20 2004 +0000,v2.4a3
Thu Aug 05 07:21:01 2004 +0000,v2.4a2
Thu Jul 08 10:24:04 2004 +0000,v2.4a1
Thu May 27 05:59:16 2004 +0000,v2.3.4
Thu May 13 05:34:43 2004 +0000,v2.3.4c1
Fri Dec 19 02:06:06 2003 +0000,v2.3.3
Fri Dec 05 04:34:04 2003 +0000,v2.3.3c1
Thu Oct 02 12:50:18 2003 +0000,v2.3.2
Tue Sep 30 07:10:26 2003 +0000,v2.3.2c1
Wed Sep 24 00:51:10 2003 +0000,v2.3.1
Fri Jul 25 01:12:48 2003 +0000,v2.3c2
Fri Jul 18 17:45:33 2003 +0000,v2.3c1
Fri May 30 20:57:36 2003 +0000,v2.2.3
Thu May 22 19:13:35 2003 +0000,v2.2.3c1
Mon Oct 14 20:11:50 2002 +0000,v2.2.2
Mon Oct 07 21:38:58 2002 +0000,v2.2.2b1
Tue Apr 09 09:29:28 2002 +0000,v2.2.1
Tue Apr 09 01:16:08 2002 +0000,v2.1.3
Fri Mar 29 21:23:40 2002 +0000,v2.2
Tue Mar 26 13:47:16 2002 +0000,v2.2.1c2
Mon Mar 18 16:47:35 2002 +0000,v2.2.1c1
Tue Jan 15 22:34:58 2002 +0000,v2.1.2
Thu Jan 10 16:25:57 2002 +0000,v2.1.2c1
Sat Sep 08 21:38:26 2001 +0000,v2.2a3
Fri Jul 20 14:55:28 2001 +0000,v2.1.1
Fri Jul 13 15:10:55 2001 +0000,v2.1.1c1
Fri Jun 22 06:43:01 2001 +0000,v2.0.1
Wed Jun 13 19:26:00 2001 +0000,v2.0.1c1
Mon Apr 16 18:46:45 2001 +0000,v2.1
Mon Apr 16 02:07:08 2001 +0000,v2.1c2
Fri Apr 13 19:41:28 2001 +0000,v2.1c1
Fri Mar 23 20:24:07 2001 +0000,v2.1b2
Fri Mar 02 19:48:06 2001 +0000,v2.1b1
Fri Feb 02 21:24:51 2001 +0000,v2.1a2
Tue Jan 23 01:57:40 2001 +0000,v2.1a1
Mon Oct 16 20:51:33 2000 +0000,v2.0
Mon Oct 09 23:43:55 2000 +0000,v2.0c1
Tue Sep 26 18:00:20 2000 +0000,v2.0b2
Tue Sep 05 20:15:25 2000 +0000,v2.0b1
Tue Apr 11 17:11:09 2000 +0000,v1.6a2
Fri Mar 31 20:16:45 2000 +0000,v1.6a1
Tue Apr 13 15:52:45 1999 +0000,v1.5.2
Thu Apr 08 20:50:27 1999 +0000,v1.5.2c1
Thu Feb 18 16:04:35 1999 +0000,v1.5.2b2
Tue Dec 22 21:43:35 1998 +0000,v1.5.2b1
Sat Oct 17 19:44:20 1998 +0000,v1.5.2a2
Wed Aug 12 02:38:11 1998 +0000,v1.5.2a1
Tue Apr 14 02:16:23 1998 +0000,v1.5.1
Wed Dec 31 05:53:15 1997 +0000,v1.5
Fri Dec 12 00:09:34 1997 +0000,v1.5b2
Wed Nov 26 21:20:51 1997 +0000,v1.5b1
Thu Oct 09 23:32:24 1997 +0000,v1.5a4
Fri Aug 15 20:18:44 1997 +0000,v1.5a3
Thu May 15 12:24:53 1997 +0000,v1.5a2
Fri May 09 03:21:44 1997 +0000,v1.5a1
Fri Oct 25 15:40:20 1996 +0000,v1.4
Mon Aug 26 18:33:32 1996 +0000,v1.4b3
Thu Aug 08 19:05:09 1996 +0000,v1.4b2
Mon Jul 01 18:34:03 1996 +0000,v1.4b1
Thu Oct 12 10:34:31 1995 +0000,v1.3
Mon Aug 28 03:12:57 1995 +0000,v1.3b1
Mon Apr 10 12:32:31 1995 +0000,v1.2
Wed Mar 22 12:27:16 1995 +0000,v1.2b4
Tue Feb 14 00:58:59 1995 +0000,v1.2b3
Tue Jan 17 17:01:40 1995 +0000,v1.2b2
Thu Jan 12 12:42:09 1995 +0000,v1.2b1
Thu Nov 10 23:06:54 1994 +0000,v1.1.1
Tue Oct 11 15:44:53 1994 +0000,v1.1
Fri May 06 14:16:55 1994 +0000,v1.0.2
Tue Feb 15 16:04:53 1994 +0000,v1.0.1
Thu Jul 29 13:14:32 1993 +0000,v0.9.9
Sun Jan 10 18:33:56 1993 +0000,v0.9.8
